,org:resource,lifecycle:transition,concept:name,time:timestamp,REG_DATE,case:concept:name,Request loan amount,Case length in calendar days,activity_count,average_cancellation,average_resource,bounded_existence_O_ACCEPTED,four_eye_principle_O_CREATED_O_ACCEPTED
21608,11119.0,COMPLETE,Sent loan offer to client,2011-10-13 19:50:23,2011-10-13 19:00:50.197000+02:00,176783,23000,11.0,5,0,3,0,0
21614,11029.0,COMPLETE,Receive documents from client,2011-10-19 10:06:24,2011-10-13 19:00:50.197000+02:00,176783,23000,11.0,5,0,3,0,0
21618,10972.0,COMPLETE,Approve loan request,2011-10-25 13:18:16,2011-10-13 19:00:50.197000+02:00,176783,23000,11.0,5,0,3,0,0
21687,11009.0,COMPLETE,Loan requested,2011-10-14 09:19:47,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21688,11009.0,COMPLETE,Create loan offer,2011-10-14 09:19:50,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21689,11009.0,COMPLETE,Sent loan offer to client,2011-10-14 09:19:50,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21693,11009.0,COMPLETE,Cancel loan request,2011-10-14 09:21:46,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21694,11009.0,COMPLETE,Loan requested,2011-10-14 09:21:46,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21695,11009.0,COMPLETE,Create loan offer,2011-10-14 09:21:48,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21696,11009.0,COMPLETE,Sent loan offer to client,2011-10-14 09:21:48,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21704,11029.0,COMPLETE,Receive documents from client,2011-10-18 09:47:25,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21716,10609.0,COMPLETE,Loan requested,2011-10-20 13:15:42,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21717,10609.0,COMPLETE,Cancel loan request,2011-10-20 13:15:42,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21718,10609.0,COMPLETE,Create loan offer,2011-10-20 13:15:44,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21719,10609.0,COMPLETE,Sent loan offer to client,2011-10-20 13:15:44,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21723,10609.0,COMPLETE,Approve loan request,2011-10-20 13:17:40,2011-10-13 19:12:16.283000+02:00,176792,8500,6.0,13,2,3,0,1
21748,11019.0,COMPLETE,Loan requested,2011-10-14 12:49:22,2011-10-13 19:38:18.648000+02:00,176804,15000,11.0,5,0,3,0,0
21749,11019.0,COMPLETE,Create loan offer,2011-10-14 12:49:23,2011-10-13 19:38:18.648000+02:00,176804,15000,11.0,5,0,3,0,0
21750,11019.0,COMPLETE,Sent loan offer to client,2011-10-14 12:49:23,2011-10-13 19:38:18.648000+02:00,176804,15000,11.0,5,0,3,0,0
21754,11029.0,COMPLETE,Receive documents from client,2011-10-20 09:32:13,2011-10-13 19:38:18.648000+02:00,176804,15000,11.0,5,0,3,0,0
21758,10138.0,COMPLETE,Approve loan request,2011-10-25 16:10:13,2011-10-13 19:38:18.648000+02:00,176804,15000,11.0,5,0,3,0,0
21769,11122.0,COMPLETE,Loan requested,2011-10-13 19:55:42,2011-10-13 19:51:21.904000+02:00,176807,5000,17.0,5,0,3,0,0
21771,11122.0,COMPLETE,Create loan offer,2011-10-13 19:55:44,2011-10-13 19:51:21.904000+02:00,176807,5000,17.0,5,0,3,0,0
21772,11122.0,COMPLETE,Sent loan offer to client,2011-10-13 19:55:44,2011-10-13 19:51:21.904000+02:00,176807,5000,17.0,5,0,3,0,0
21788,11029.0,COMPLETE,Receive documents from client,2011-10-26 11:32:46,2011-10-13 19:51:21.904000+02:00,176807,5000,17.0,5,0,3,0,0
21792,10809.0,COMPLETE,Approve loan request,2011-10-31 14:04:16,2011-10-13 19:51:21.904000+02:00,176807,5000,17.0,5,0,3,0,0
21808,10982.0,COMPLETE,Loan requested,2011-10-13 20:57:55,2011-10-13 19:52:49.643000+02:00,176810,15000,19.0,5,0,3,0,0
21809,10982.0,COMPLETE,Create loan offer,2011-10-13 20:57:56,2011-10-13 19:52:49.643000+02:00,176810,15000,19.0,5,0,3,0,0
21810,10982.0,COMPLETE,Sent loan offer to client,2011-10-13 20:57:56,2011-10-13 19:52:49.643000+02:00,176810,15000,19.0,5,0,3,0,0
21816,11049.0,COMPLETE,Receive documents from client,2011-10-27 11:11:15,2011-10-13 19:52:49.643000+02:00,176810,15000,19.0,5,0,3,0,0
21828,10138.0,COMPLETE,Approve loan request,2011-11-02 08:30:41,2011-10-13 19:52:49.643000+02:00,176810,15000,19.0,5,0,3,0,0
21839,11119.0,COMPLETE,Loan requested,2011-10-13 20:49:38,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21841,11119.0,COMPLETE,Create loan offer,2011-10-13 20:49:39,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21842,11119.0,COMPLETE,Sent loan offer to client,2011-10-13 20:49:39,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21846,11119.0,COMPLETE,Loan requested,2011-10-13 20:53:43,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21847,11119.0,COMPLETE,Cancel loan request,2011-10-13 20:53:43,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21848,11119.0,COMPLETE,Create loan offer,2011-10-13 20:53:45,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21849,11119.0,COMPLETE,Sent loan offer to client,2011-10-13 20:53:45,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21857,10881.0,COMPLETE,Loan requested,2011-10-17 10:42:01,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21858,10881.0,COMPLETE,Cancel loan request,2011-10-17 10:42:01,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21859,10881.0,COMPLETE,Create loan offer,2011-10-17 10:42:01,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21860,10881.0,COMPLETE,Sent loan offer to client,2011-10-17 10:42:01,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21874,11049.0,COMPLETE,Receive documents from client,2011-10-31 10:37:15,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21880,10138.0,COMPLETE,Loan requested,2011-11-03 09:31:18,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21881,10138.0,COMPLETE,Cancel loan request,2011-11-03 09:31:18,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21882,10138.0,COMPLETE,Create loan offer,2011-11-03 09:31:19,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21883,10138.0,COMPLETE,Sent loan offer to client,2011-11-03 09:31:19,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21897,10138.0,COMPLETE,Approve loan request,2011-11-04 13:52:15,2011-10-13 20:24:05.939000+02:00,176813,30000,21.0,17,3,4,0,1
21943,11200.0,COMPLETE,Loan requested,2011-10-14 16:51:51,2011-10-13 20:50:28.033000+02:00,176822,4500,13.0,5,0,3,0,0
21945,11200.0,COMPLETE,Create loan offer,2011-10-14 16:51:52,2011-10-13 20:50:28.033000+02:00,176822,4500,13.0,5,0,3,0,0
21946,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 16:51:53,2011-10-13 20:50:28.033000+02:00,176822,4500,13.0,5,0,3,0,0
21952,11029.0,COMPLETE,Receive documents from client,2011-10-24 11:54:19,2011-10-13 20:50:28.033000+02:00,176822,4500,13.0,5,0,3,0,0
21956,10972.0,COMPLETE,Approve loan request,2011-10-28 12:17:42,2011-10-13 20:50:28.033000+02:00,176822,4500,13.0,5,0,3,0,0
22089,11120.0,COMPLETE,Loan requested,2011-10-14 10:27:16,2011-10-13 21:48:29.262000+02:00,176837,3500,5.0,5,0,3,0,0
22091,11120.0,COMPLETE,Create loan offer,2011-10-14 10:27:17,2011-10-13 21:48:29.262000+02:00,176837,3500,5.0,5,0,3,0,0
22092,11120.0,COMPLETE,Sent loan offer to client,2011-10-14 10:27:17,2011-10-13 21:48:29.262000+02:00,176837,3500,5.0,5,0,3,0,0
22098,11029.0,COMPLETE,Receive documents from client,2011-10-19 09:28:35,2011-10-13 21:48:29.262000+02:00,176837,3500,5.0,5,0,3,0,0
22111,10972.0,COMPLETE,Approve loan request,2011-10-19 11:41:52,2011-10-13 21:48:29.262000+02:00,176837,3500,5.0,5,0,3,0,0
22122,11120.0,COMPLETE,Loan requested,2011-10-14 10:46:26,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22123,11120.0,COMPLETE,Create loan offer,2011-10-14 10:46:28,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22124,11120.0,COMPLETE,Sent loan offer to client,2011-10-14 10:46:28,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22136,11049.0,COMPLETE,Receive documents from client,2011-11-03 11:44:22,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22145,10859.0,COMPLETE,Loan requested,2011-11-08 12:21:00,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22146,10859.0,COMPLETE,Cancel loan request,2011-11-08 12:21:00,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22147,10859.0,COMPLETE,Create loan offer,2011-11-08 12:21:01,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22148,10859.0,COMPLETE,Sent loan offer to client,2011-11-08 12:21:01,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22156,11049.0,COMPLETE,Receive documents from client,2011-11-14 12:05:45,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22163,10629.0,COMPLETE,Approve loan request,2011-11-14 13:46:58,2011-10-13 21:55:22.247000+02:00,176840,50000,31.0,10,1,4,0,0
22180,11200.0,COMPLETE,Loan requested,2011-10-14 14:02:37,2011-10-13 22:15:16.313000+02:00,176846,10000,16.0,5,0,3,0,0
22182,11200.0,COMPLETE,Create loan offer,2011-10-14 14:02:39,2011-10-13 22:15:16.313000+02:00,176846,10000,16.0,5,0,3,0,0
22183,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 14:02:39,2011-10-13 22:15:16.313000+02:00,176846,10000,16.0,5,0,3,0,0
22187,11029.0,COMPLETE,Receive documents from client,2011-10-19 10:08:15,2011-10-13 22:15:16.313000+02:00,176846,10000,16.0,5,0,3,0,0
22203,10609.0,COMPLETE,Approve loan request,2011-10-31 11:04:44,2011-10-13 22:15:16.313000+02:00,176846,10000,16.0,5,0,3,0,0
22318,11201.0,COMPLETE,Loan requested,2011-10-14 16:49:47,2011-10-14 00:10:16.225000+02:00,176858,5000,30.0,5,0,3,0,0
22320,11201.0,COMPLETE,Create loan offer,2011-10-14 16:49:48,2011-10-14 00:10:16.225000+02:00,176858,5000,30.0,5,0,3,0,0
22321,11201.0,COMPLETE,Sent loan offer to client,2011-10-14 16:49:48,2011-10-14 00:10:16.225000+02:00,176858,5000,30.0,5,0,3,0,0
22333,10899.0,COMPLETE,Receive documents from client,2011-11-10 10:37:37,2011-10-14 00:10:16.225000+02:00,176858,5000,30.0,5,0,3,0,0
22338,10138.0,COMPLETE,Approve loan request,2011-11-14 15:24:21,2011-10-14 00:10:16.225000+02:00,176858,5000,30.0,5,0,3,0,0
22348,11120.0,COMPLETE,Loan requested,2011-10-14 12:25:39,2011-10-14 07:56:11.447000+02:00,176879,5000,16.0,5,0,3,0,0
22350,11120.0,COMPLETE,Create loan offer,2011-10-14 12:25:40,2011-10-14 07:56:11.447000+02:00,176879,5000,16.0,5,0,3,0,0
22351,11120.0,COMPLETE,Sent loan offer to client,2011-10-14 12:25:40,2011-10-14 07:56:11.447000+02:00,176879,5000,16.0,5,0,3,0,0
22359,11049.0,COMPLETE,Receive documents from client,2011-10-24 11:13:42,2011-10-14 07:56:11.447000+02:00,176879,5000,16.0,5,0,3,0,0
22390,10609.0,COMPLETE,Approve loan request,2011-10-31 10:26:46,2011-10-14 07:56:11.447000+02:00,176879,5000,16.0,5,0,3,0,0
22435,11201.0,COMPLETE,Loan requested,2011-10-14 14:39:51,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22437,11201.0,COMPLETE,Create loan offer,2011-10-14 14:39:52,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22438,11201.0,COMPLETE,Sent loan offer to client,2011-10-14 14:39:52,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22442,11201.0,COMPLETE,Loan requested,2011-10-14 14:41:09,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22443,11201.0,COMPLETE,Cancel loan request,2011-10-14 14:41:09,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22444,11201.0,COMPLETE,Create loan offer,2011-10-14 14:41:10,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22445,11201.0,COMPLETE,Sent loan offer to client,2011-10-14 14:41:10,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22455,11029.0,COMPLETE,Receive documents from client,2011-10-26 10:33:18,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22471,10629.0,COMPLETE,Approve loan request,2011-11-03 15:44:16,2011-10-14 09:20:03.488000+02:00,176891,12500,20.0,9,1,3,0,0
22522,11201.0,COMPLETE,Loan requested,2011-10-14 15:30:22,2011-10-14 10:03:28.894000+02:00,176903,10000,16.0,5,0,3,0,0
22524,11201.0,COMPLETE,Create loan offer,2011-10-14 15:30:23,2011-10-14 10:03:28.894000+02:00,176903,10000,16.0,5,0,3,0,0
22525,11201.0,COMPLETE,Sent loan offer to client,2011-10-14 15:30:23,2011-10-14 10:03:28.894000+02:00,176903,10000,16.0,5,0,3,0,0
22535,11049.0,COMPLETE,Receive documents from client,2011-10-25 11:40:58,2011-10-14 10:03:28.894000+02:00,176903,10000,16.0,5,0,3,0,0
22541,10138.0,COMPLETE,Approve loan request,2011-10-31 08:59:37,2011-10-14 10:03:28.894000+02:00,176903,10000,16.0,5,0,3,0,0
22633,11009.0,COMPLETE,Loan requested,2011-10-14 12:16:12,2011-10-14 12:05:38.082000+02:00,176927,15500,11.0,5,0,3,0,0
22635,11009.0,COMPLETE,Create loan offer,2011-10-14 12:16:13,2011-10-14 12:05:38.082000+02:00,176927,15500,11.0,5,0,3,0,0
22636,11009.0,COMPLETE,Sent loan offer to client,2011-10-14 12:16:13,2011-10-14 12:05:38.082000+02:00,176927,15500,11.0,5,0,3,0,0
22640,11029.0,COMPLETE,Receive documents from client,2011-10-19 09:46:01,2011-10-14 12:05:38.082000+02:00,176927,15500,11.0,5,0,3,0,0
22663,10972.0,COMPLETE,Approve loan request,2011-10-25 16:59:23,2011-10-14 12:05:38.082000+02:00,176927,15500,11.0,5,0,3,0,0
22674,11169.0,COMPLETE,Loan requested,2011-10-14 12:12:41,2011-10-14 12:06:09.256000+02:00,176930,15000,19.0,5,0,3,0,0
22675,11169.0,COMPLETE,Create loan offer,2011-10-14 12:12:42,2011-10-14 12:06:09.256000+02:00,176930,15000,19.0,5,0,3,0,0
22676,11169.0,COMPLETE,Sent loan offer to client,2011-10-14 12:12:42,2011-10-14 12:06:09.256000+02:00,176930,15000,19.0,5,0,3,0,0
22690,11029.0,COMPLETE,Receive documents from client,2011-10-31 11:14:11,2011-10-14 12:06:09.256000+02:00,176930,15000,19.0,5,0,3,0,0
22695,10809.0,COMPLETE,Approve loan request,2011-11-03 11:39:48,2011-10-14 12:06:09.256000+02:00,176930,15000,19.0,5,0,3,0,0
22789,11180.0,COMPLETE,Loan requested,2011-10-17 14:04:23,2011-10-14 13:17:10.298000+02:00,176954,5500,14.0,5,0,3,0,0
22790,11180.0,COMPLETE,Create loan offer,2011-10-17 14:04:24,2011-10-14 13:17:10.298000+02:00,176954,5500,14.0,5,0,3,0,0
22791,11180.0,COMPLETE,Sent loan offer to client,2011-10-17 14:04:24,2011-10-14 13:17:10.298000+02:00,176954,5500,14.0,5,0,3,0,0
22797,11049.0,COMPLETE,Receive documents from client,2011-10-27 10:58:48,2011-10-14 13:17:10.298000+02:00,176954,5500,14.0,5,0,3,0,0
22805,10609.0,COMPLETE,Approve loan request,2011-10-31 16:12:17,2011-10-14 13:17:10.298000+02:00,176954,5500,14.0,5,0,3,0,0
22816,11200.0,COMPLETE,Loan requested,2011-10-14 13:37:55,2011-10-14 13:19:34.392000+02:00,176957,10000,18.0,5,0,3,0,0
22818,11200.0,COMPLETE,Create loan offer,2011-10-14 13:37:56,2011-10-14 13:19:34.392000+02:00,176957,10000,18.0,5,0,3,0,0
22819,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 13:37:56,2011-10-14 13:19:34.392000+02:00,176957,10000,18.0,5,0,3,0,0
22827,11029.0,COMPLETE,Receive documents from client,2011-10-28 09:42:45,2011-10-14 13:19:34.392000+02:00,176957,10000,18.0,5,0,3,0,0
22843,10972.0,COMPLETE,Approve loan request,2011-11-02 08:53:07,2011-10-14 13:19:34.392000+02:00,176957,10000,18.0,5,0,3,0,0
22858,11169.0,COMPLETE,Loan requested,2011-10-14 13:37:39,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22859,11169.0,COMPLETE,Create loan offer,2011-10-14 13:37:41,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22860,11169.0,COMPLETE,Sent loan offer to client,2011-10-14 13:37:41,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22866,11000.0,COMPLETE,Loan requested,2011-10-22 12:29:13,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22867,11000.0,COMPLETE,Cancel loan request,2011-10-22 12:29:13,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22868,11000.0,COMPLETE,Create loan offer,2011-10-22 12:29:15,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22869,11000.0,COMPLETE,Sent loan offer to client,2011-10-22 12:29:15,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22873,10861.0,COMPLETE,Cancel loan request,2011-10-28 14:10:25,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22874,10861.0,COMPLETE,Loan requested,2011-10-28 14:10:25,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22875,10861.0,COMPLETE,Create loan offer,2011-10-28 14:10:26,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22876,10861.0,COMPLETE,Sent loan offer to client,2011-10-28 14:10:26,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22880,10880.0,COMPLETE,Cancel loan request,2011-11-02 14:37:40,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22881,10880.0,COMPLETE,Loan requested,2011-11-02 14:37:40,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22882,10880.0,COMPLETE,Create loan offer,2011-11-02 14:37:41,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22883,10880.0,COMPLETE,Sent loan offer to client,2011-11-02 14:37:41,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22887,11049.0,COMPLETE,Receive documents from client,2011-11-09 10:28:57,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22893,10972.0,COMPLETE,Approve loan request,2011-11-11 16:57:23,2011-10-14 13:19:52.508000+02:00,176960,36500,28.0,17,3,6,0,0
22907,10629.0,COMPLETE,Loan requested,2011-10-14 13:32:55,2011-10-14 13:22:02.688000+02:00,176963,20000,3.0,5,0,1,0,1
22909,10629.0,COMPLETE,Create loan offer,2011-10-14 13:32:56,2011-10-14 13:22:02.688000+02:00,176963,20000,3.0,5,0,1,0,1
22910,10629.0,COMPLETE,Sent loan offer to client,2011-10-14 13:32:56,2011-10-14 13:22:02.688000+02:00,176963,20000,3.0,5,0,1,0,1
22914,10629.0,COMPLETE,Receive documents from client,2011-10-14 13:33:24,2011-10-14 13:22:02.688000+02:00,176963,20000,3.0,5,0,1,0,1
22941,10629.0,COMPLETE,Approve loan request,2011-10-17 13:46:35,2011-10-14 13:22:02.688000+02:00,176963,20000,3.0,5,0,1,0,1
23019,11200.0,COMPLETE,Loan requested,2011-10-14 14:33:56,2011-10-14 14:08:02.071000+02:00,176978,6000,25.0,5,0,3,0,0
23021,11200.0,COMPLETE,Create loan offer,2011-10-14 14:33:58,2011-10-14 14:08:02.071000+02:00,176978,6000,25.0,5,0,3,0,0
23022,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 14:33:58,2011-10-14 14:08:02.071000+02:00,176978,6000,25.0,5,0,3,0,0
23034,11049.0,COMPLETE,Receive documents from client,2011-11-07 10:56:48,2011-10-14 14:08:02.071000+02:00,176978,6000,25.0,5,0,3,0,0
23040,10138.0,COMPLETE,Approve loan request,2011-11-09 12:49:50,2011-10-14 14:08:02.071000+02:00,176978,6000,25.0,5,0,3,0,0
23051,11200.0,COMPLETE,Loan requested,2011-10-14 15:15:34,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23053,11200.0,COMPLETE,Create loan offer,2011-10-14 15:15:35,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23054,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 15:15:35,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23058,11200.0,COMPLETE,Cancel loan request,2011-10-14 15:16:57,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23059,11200.0,COMPLETE,Loan requested,2011-10-14 15:16:57,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23060,11200.0,COMPLETE,Create loan offer,2011-10-14 15:16:58,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23061,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 15:16:58,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23069,11049.0,COMPLETE,Receive documents from client,2011-10-27 10:27:38,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23094,10138.0,COMPLETE,Approve loan request,2011-11-02 11:15:05,2011-10-14 14:52:10.358000+02:00,176981,5000,18.0,9,1,3,0,0
23102,11120.0,COMPLETE,Loan requested,2011-10-14 15:13:24,2011-10-14 14:58:08.055000+02:00,176984,12500,12.0,5,0,3,0,0
23104,11120.0,COMPLETE,Create loan offer,2011-10-14 15:13:25,2011-10-14 14:58:08.055000+02:00,176984,12500,12.0,5,0,3,0,0
23105,11120.0,COMPLETE,Sent loan offer to client,2011-10-14 15:13:25,2011-10-14 14:58:08.055000+02:00,176984,12500,12.0,5,0,3,0,0
23123,11029.0,COMPLETE,Receive documents from client,2011-10-26 12:45:53,2011-10-14 14:58:08.055000+02:00,176984,12500,12.0,5,0,3,0,0
23129,10629.0,COMPLETE,Approve loan request,2011-10-27 11:59:06,2011-10-14 14:58:08.055000+02:00,176984,12500,12.0,5,0,3,0,0
23313,11200.0,COMPLETE,Loan requested,2011-10-14 16:38:18,2011-10-14 16:26:16.561000+02:00,177014,35000,13.0,5,0,3,0,0
23315,11200.0,COMPLETE,Create loan offer,2011-10-14 16:38:19,2011-10-14 16:26:16.561000+02:00,177014,35000,13.0,5,0,3,0,0
23316,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 16:38:19,2011-10-14 16:26:16.561000+02:00,177014,35000,13.0,5,0,3,0,0
23324,11029.0,COMPLETE,Receive documents from client,2011-10-24 09:54:26,2011-10-14 16:26:16.561000+02:00,177014,35000,13.0,5,0,3,0,0
23329,10138.0,COMPLETE,Approve loan request,2011-10-27 19:40:57,2011-10-14 16:26:16.561000+02:00,177014,35000,13.0,5,0,3,0,0
23348,11200.0,COMPLETE,Loan requested,2011-10-14 19:56:01,2011-10-14 17:17:31.276000+02:00,177023,9400,18.0,5,0,3,0,0
23350,11200.0,COMPLETE,Create loan offer,2011-10-14 19:56:03,2011-10-14 17:17:31.276000+02:00,177023,9400,18.0,5,0,3,0,0
23351,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 19:56:03,2011-10-14 17:17:31.276000+02:00,177023,9400,18.0,5,0,3,0,0
23357,11029.0,COMPLETE,Receive documents from client,2011-10-26 11:39:30,2011-10-14 17:17:31.276000+02:00,177023,9400,18.0,5,0,3,0,0
23375,10138.0,COMPLETE,Approve loan request,2011-11-02 11:56:45,2011-10-14 17:17:31.276000+02:00,177023,9400,18.0,5,0,3,0,0
23393,11200.0,COMPLETE,Loan requested,2011-10-14 18:10:39,2011-10-14 17:46:14.463000+02:00,177029,16000,12.0,5,0,3,0,0
23394,11200.0,COMPLETE,Create loan offer,2011-10-14 18:10:40,2011-10-14 17:46:14.463000+02:00,177029,16000,12.0,5,0,3,0,0
23395,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 18:10:40,2011-10-14 17:46:14.463000+02:00,177029,16000,12.0,5,0,3,0,0
23399,10789.0,COMPLETE,Receive documents from client,2011-10-21 10:15:51,2011-10-14 17:46:14.463000+02:00,177029,16000,12.0,5,0,3,0,0
23403,10629.0,COMPLETE,Approve loan request,2011-10-27 13:17:21,2011-10-14 17:46:14.463000+02:00,177029,16000,12.0,5,0,3,0,0
23532,11200.0,COMPLETE,Loan requested,2011-10-14 19:32:54,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23533,11200.0,COMPLETE,Create loan offer,2011-10-14 19:32:56,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23534,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 19:32:56,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23538,11200.0,COMPLETE,Loan requested,2011-10-14 19:33:53,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23539,11200.0,COMPLETE,Cancel loan request,2011-10-14 19:33:53,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23540,11200.0,COMPLETE,Create loan offer,2011-10-14 19:33:54,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23541,11200.0,COMPLETE,Sent loan offer to client,2011-10-14 19:33:54,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23549,11029.0,COMPLETE,Receive documents from client,2011-10-28 09:29:33,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23562,11202.0,COMPLETE,Loan requested,2011-11-01 12:56:33,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
23563,11202.0,COMPLETE,Cancel loan request,2011-11-01 12:56:33,2011-10-14 19:19:05.070000+02:00,177053,25000,27.0,14,2,5,0,0
